순위,제목,가수,앨범
1,Super Shy,NewJeans,NewJeans 2nd EP 'Get Up'
2,Seven (feat. Latto) - Clean Ver.,정국,Seven (feat. Latto) - Clean Ver.
3,ETA,NewJeans,NewJeans 2nd EP 'Get Up'
4,퀸카 (Queencard),(여자)아이들,I feel
5,헤어지자 말해요,박재정,1집 Alone
6,I AM,IVE (아이브),I've IVE
7,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
8,Spicy,aespa,MY WORLD - The 3rd Mini Album
9,Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”)
10,New Jeans,NewJeans,NewJeans 2nd EP 'Get Up'
11,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
12,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
13,모래 알갱이,임영웅,모래 알갱이
14,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
15,Kitsch,IVE (아이브),I've IVE
16,Ditto,NewJeans,NewJeans 'OMG'
17,우리들의 블루스,임영웅,IM HERO
18,Cool With You,NewJeans,NewJeans 2nd EP 'Get Up'
19,다시 만날 수 있을까,임영웅,IM HERO
20,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
21,무지개,임영웅,IM HERO
22,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
23,ISTJ,NCT DREAM,ISTJ - The 3rd Album
24,OMG,NewJeans,NewJeans 'OMG'
25,London Boy,임영웅,Polaroid
26,Polaroid,임영웅,Polaroid
27,아버지,임영웅,IM HERO
28,손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
29,Still With You,정국,Still With You
30,Candy,NCT DREAM,Candy - Winter Special Mini Album
31,사막에서 꽃을 피우듯,우디 (Woody),사막에서 꽃을 피우듯
32,인생찬가,임영웅,IM HERO
33,A bientot,임영웅,IM HERO
34,After LIKE,IVE (아이브),After LIKE
35,꽃,지수 (JISOO),ME
36,Dynamite,방탄소년단,Dynamite (DayTime Version)
37,손이 참 곱던 그대,임영웅,IM HERO
38,사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
39,사랑해 진짜,임영웅,IM HERO
40,Summer (Feat. BE’O (비오)),Paul Blanco,Summer
41,LOVE DIVE,IVE (아이브),LOVE DIVE
42,I Don't Think That I Like Her,Charlie Puth,CHARLIE
43,연애편지,임영웅,IM HERO
44,Butter,방탄소년단,Butter
45,Broken Melodies,NCT DREAM,ISTJ - The 3rd Album
46,Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
47,보금자리,임영웅,IM HERO
48,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
49,Take Two,방탄소년단,Take Two
50,Teddy Bear,STAYC(스테이씨),Teddy Bear
51,봄날,방탄소년단,YOU NEVER WALK ALONE
52,심(心),DK(디셈버),심(心)
53,ASAP,NewJeans,NewJeans 2nd EP 'Get Up'
54,Permission to Dance,방탄소년단,Butter / Permission to Dance
55,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
56,Cupid,FIFTY FIFTY,The Beginning: Cupid
57,Like Crazy,지민,FACE
58,사람 Pt.2 (feat. 아이유),Agust D,D-DAY
59,ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
60,사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
61,물론,허각,물론
62,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
63,In Bloom,ZEROBASEONE (제로베이스원),YOUTH IN THE SHADE
64,잠깐 시간 될까,이무진,잠깐 시간 될까
65,Allergy,(여자)아이들,I feel
66,The Planet,방탄소년단,The Planet
67,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
68,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
69,나에게 그대만이,탑현,나에게 그대만이
70,STAY,"The Kid LAROI, Justin Bieber",Stay
71,사랑..그게 뭔데,지아,사랑..그게 뭔데
72,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL),Golden Hourglass
73,파랑 (Blue Wave),NCT DREAM,ISTJ - The 3rd Album
74,첫 키스에 내 심장은 120BPM,경서,ONGOING
75,on the street (with J. Cole),"j-hope, J. Cole",on the street (with J. Cole)
76,사실말야내가말야그게그러니까말이야,케이시 (Kassy),사실말야내가말야그게그러니까말이야
77,취중고백,김민석 (멜로망스),취중고백
78,TOMBOY,(여자)아이들,I NEVER DIE
79,That's Hilarious,Charlie Puth,CHARLIE
80,LIP GLOSS,더보이즈 (THE BOYZ),THE BOYZ 2ND ALBUM [PHANTASY] Pt.1 Christmas In August
81,Heaven(2023),임재현,시작은 첫키스 OST Part.1
82,해요 (2022),#안녕,해요 (2022)
83,그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
84,Like We Just Met,NCT DREAM,ISTJ - The 3rd Album
85,Yogurt Shake,NCT DREAM,ISTJ - The 3rd Album
86,Cream Soda,EXO,EXIST - The 7th Album
87,Get Up,NewJeans,NewJeans 2nd EP 'Get Up'
88,Nxde,(여자)아이들,I love
89,빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
90,사랑의 바보,제이세라,사랑의 바보
91,Fast Forward,전소미,GAME PLAN
92,That’s Not How This Works (feat. Dan + Shay),Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
93,다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호)
94,NIGHT DANCER,imase,NIGHT DANCER
95,Monologue,테이,Monologue
96,Thirsty,aespa,MY WORLD - The 3rd Mini Album
97,Poison (모래성),NCT DREAM,ISTJ - The 3rd Album
98,Skateboard,NCT DREAM,ISTJ - The 3rd Album
99,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
100,KNOCK,이채연,Over The Moon
